,index,X,Y,subreg,hostility_d,victim_d,description,hostilitytype_l,victim_l,navarea,year,month,day
1539,1549,-51.066388899593704,0.033888899665953,24,pirates,yacht,"brazil:   america's cup yachting winner, sir peter blake was shot and killed late 5 dec aboard his yacht (seamaster) anchored near macapa at the mouth of the amazon.  two other crew were wounded.  watches, cameras and an inflatable boat were stolen by the men, one of whom may have been wounded by a gun fired by blake.  seven or eight persons wearing hoods boarded the yacht late at night after the crew had returned from dinner ashore.  on  8 dec brazilian police reported they had arrested seven men in the death and that four had confessed to the robbery and shooting claiming they had shot blake twice in the back in self-defense.  blake was ending a tour to heighten environmental awareness in the  amazon region and had reported death threats earlier in his expedition.  all concerned appear to be handling the case as one of robbery and murder without making any connection to blake's environmental activity.  assaults against yachtsmen are not uncommon but the speed with which the alleged perpetrators were arrested by brazilian authorities.  if the motive was simply robbery it is unclear why the assailants waited until blake and his crew had reboarded the yacht.",pirate_assaults,sailing_vessel,v,2001,12,05
1540,1550,91.8166667001536,22.3166667001543,63,pirates,merchant vessel,"bangladesh:   an unidentified bulk carrier was boarded 6 feb at midnight local time while at berth 9, chittagong.  two persons armed with knives broke into the forecastle store and attempted to steal stores.  one man was caught by crew and turned over to local authorities while the second man escaped (imb).",pirate_assaults,merchant_vessel,viii,2003,02,06
1541,1551,105.933333300412,-5.99999999984874,71,pirates,merchant vessel,"indonesia:   an unidentified container ship was boarded 8 feb at 2340 local time in position 06 00s, 105 56e, banten roads.  six persons boarded but were driven off when watch sounded alarm (imb).",pirate_assaults,merchant_vessel,xi,2003,02,08
1542,1552,-70.016666700017,18.416666699758398,25,pirates,merchant vessel,"dominican republic:   an unidentified tanker was boarded 9 feb at 0350 local time while at berth no. 1-2, rio haina.  about ten persons armed with knives boarded simultaneously fore and aft and stole ship's stores before being driven off by crew (imb).",pirate_assaults,merchant_vessel,iv,2003,02,09
1543,1553,-46.3000000003426,-23.949999999664804,24,pirates,merchant vessel,"brazil:   the tanker (mekhanik karasyov) was boarded 6 feb at day break, while anchored in inner harbor, santos. thieves boarded from a boat and stole personal effects, electronics and other items. when discovered on deck by crew members, the intruders responded with gunfire, killing the chief mate and wounding one other officer, who was hospitalized (info).",pirate_assaults,merchant_vessel,v,2003,02,06
1544,1554,111.41666670006799,3.33333329961221,71,pirates,merchant vessel,"malaysia:   an unidentified bulk carrier was subject to attempted boarding 13 feb while in position  03-20n, 111-25e off matu, sarawak. alert crew prevented boarding (imb).",pirate_assaults,merchant_vessel,xi,2003,02,13
1545,1555,106.683333300212,20.8666667004221,93,pirates,merchant vessel,"vietnam:   an unidentified bulk carrier was boarded 11 feb at 0350 local time while anchored at halong bay, haiphong anchorage. three persons armed with knives boarded the ship, discharging cargo, using grappling hooks. they broke into paint store before being driven off by crew.  an hour later a second unsuccessful attempt was made to board the ship (imb).",pirate_assaults,merchant_vessel,xi,2003,02,11
1546,1556,106.716666700006,10.7666667003653,93,pirates,merchant vessel,"vietnam:   an unidentified tanker was subject to attempted boarding 31 jan at 0300 local time while at nha be terminal, ho chi minh city. three persons with grappling hooks were scared off by crew who recovered the hooks and lines (imb).",pirate_assaults,merchant_vessel,xi,2003,01,31
1547,1557,-75.53333329981758,10.4166667003989,24,pirates,merchant vessel,"colombia:   an unidentified cargo ship was boarded via the stern 20 feb at 2130 local time in cartagena inner roads by persons armed with guns.  they bound three watchmen and forced them into the hold, but fled when spotted by ship's crew (imb).",pirate_assaults,merchant_vessel,iv,2003,02,20
1548,1558,-17.4333333000071,14.6833332999343,51,pirates,merchant vessel,senegal:   an unidentified container ship was boarded 24 feb at 0030 local time in dakar roads as it approached port.  ship's stores were stolen from the poop (imb).,pirate_assaults,merchant_vessel,ii,2003,02,24
1549,1559,40.2000000002064,-10.2666667001081,61,pirates,merchant vessel,tanzania:   an unidentified ro/ro was boarded 13 feb at 0210 local time at mtwara port.  watchman spotted one person on board who passed ship stores to two others in a boat.  port police informed and on arrival they fired warning shots.  thieves fled and stolen items plus their boat recovered (imb).,pirate_assaults,merchant_vessel,viii,2003,02,13
1550,1560,51.716666700025904,9.933333300005529,61,pirates,merchant vessel,"somalia:   an unidentified chemical tanker reports being fired upon 22 feb between 1310 and 1405 utc while underway in position 09 56n, 051 43e off somalia's northeast coast.  seven persons in two 6-meter white open speedboats were armed with machine guns and rockets and were reportedly making 18 knots.  tanker took evasive action and cleared area without injury or serious damage (imb).",pirate_assaults,merchant_vessel,viii,2003,02,22
1551,1561,116.41666670023001,-3.2499999999846,72,pirates,merchant vessel,"indonesia:   an unidentified bulk carrier was boarded 20 feb at 0115 local time at sebuku anchorage, east kalimantan.  two persons boarded the ship during discharge via hawse pipe.  crew raised alarm and intruders jumped overboard and escaped (imb).",pirate_assaults,merchant_vessel,xi,2003,02,20
1552,1562,101.449999999714,1.68333330041321,71,pirates,merchant vessel,"indonesia:   an unidentified tanker was boarded 18 feb at 0830 local time while at old wharf no. 2, dumai.  two persons armed with long knives arrived alongside on a motorbike and boarded from the quay.  watch raised alarm and crew mustered.  the intruders fled leaving behind the bike (imb).",pirate_assaults,merchant_vessel,xi,2003,02,18
1553,1563,-77.0833333001825,3.8999999998418997,22,pirates,merchant vessel,"colombia:   an unidentified container ship was subject to attempted boarding 1 mar at 0326 local time at buenaventura.  nine persons attempted to board form a wooden boat on the port side, using a wooden ladder against the side.  crew switched on lights and sounded alarm and the intruders fled (imb).",pirate_assaults,merchant_vessel,xii,2003,03,01
1554,1564,-77.1666666998435,-12.0499999999095,22,pirates,merchant vessel,"peru:   an unidentified ship was boarded 22 feb at 2215 local time while at berth 5c, callao.  the intruders broke open forecastle locker and escaped with ship's stores (imb).",pirate_assaults,merchant_vessel,xvi,2003,02,22
1555,1565,25.1333332999575,40.99999999987261,54,pirates,merchant vessel,"nigeria:   an unidentified liquefied gas carrier was boarded 27 feb at 0455 local time at anchor,  lagos roads.  a lone individual armed with knife and machete threatened duty seaman and escaped with ship's stores (imb).",pirate_assaults,merchant_vessel,iii,2003,02,27
1556,1566,47.483333299736,12.9999999998664,62,pirates,merchant vessel,"gulf of aden:  an unidentified ship was reportedly approached 4 aug at 0220 while underway in position 13 00n, 047 28.9e.  several boats ""intended to board"" but were driven off by crew preventive measures and the assistance of unspecified ""coalition warships"".  oni has received no independent reports of coalition warship activity of this kind  (imb, oni).",pirate_assaults,merchant_vessel,ix,2003,08,04
1557,1567,47.5833333003687,12.9166667000301,62,pirates,merchant vessel,"gulf of aden:  an unidentified tanker was approached 3 aug at 2340 local time while underway in position 12 55n, 047 35e.  before abandoning the chased, three fast boats pursued the tanker for over an hour during which the tanker altered course, sounded its whistle and notified other ships in the area (imb).",pirate_assaults,merchant_vessel,ix,2003,08,03
1558,1568,91.8166667001536,22.3166667001543,63,pirates,merchant vessel,"bangladesh:   an unidentified chemical tanker was boarded 29 jul at 1045 utc while at chittagong anchorage alpha. fifteen persons in four boats, armed with knives and crowbars, boarded at stern. crew sounded alarm and mustered while 12 shore watchmen who had just boarded chased the intruders. the thieves broke open stern locker and stole safety equipment. coast guard was informed but was unable to apprehend the thieves (imb).",pirate_assaults,merchant_vessel,viii,2003,07,29
1559,1569,97.56666670011471,5.59999999980698,71,pirates,merchant vessel,"strait of malacca:  an unidentified tanker reports attempt to board 30 jul at 0840 local time while underway in position 05 36n, 097 34e.  four persons in two boats attempted board from port and starboard side. crew sounded whistle and activated fire hoses, whereupon the intruders abandoned the attempt (imb).",pirate_assaults,merchant_vessel,xi,2003,07,30
1560,1570,96.1833333003217,5.9833332997428705,71,pirates,merchant vessel,"indonesia:  an unidentified liquefied gas carrier reports attempt to board 31 jul at 0645 utc while underway in position 05 59.4n, 96 10.8e off the northern tip of sumatra.  five fast boats approached with two on either beam while the fifth criss-crossed ahead of the ship. alert crew activated fire hoses and boats withdrew after ten minutes (imb).",pirate_assaults,merchant_vessel,xi,2003,07,31
1561,1571,112.73333330027201,-7.20000000024726,72,pirates,merchant vessel,indonesia:  the indonesian flag tug (hamco bintang) and its barge (hamco mulia) with their crew of 8 are reported hijacked sometime after last reported contact 23 jun (reported 4 aug) while on voyage between surabaya to tanjung setor (imb).,pirate_assaults,merchant_vessel,xi,2003,08,04
1562,1572,-68.00000000005511,10.483333300338101,24,pirates,merchant vessel,"venezuela:  an unidentified bulk carrier was boarded 8 aug at 0400 local time while at berth 29, puerto cabello. intruders broke open a paint locker but fled empty handed when crew foiled their theft (imb).",pirate_assaults,merchant_vessel,iv,2003,08,08
1563,1573,-48.499999999874106,-1.45000000028614,24,pirates,merchant vessel,brazil:   an unidentified chemical tanker reports attempt to board 10 aug at 0430 local time while at belem anchorage.  a single individual tried to climb anchor chain but fled when seaman raised alarm (imb).,pirate_assaults,merchant_vessel,v,2003,08,10
1564,1574,-17.4333333000071,14.6833332999343,51,pirates,merchant vessel,senegal:   an unidentified container ship was boarded 11aug underway after dropping pilot off dakar. thieves escaped with ship's stores (imb).,pirate_assaults,merchant_vessel,ii,2003,08,11
1565,1575,39.4666667003042,-6.63333330001757,61,pirates,merchant vessel,"tanzania:   an unidentified general cargo ship reports attempt to board 9 aug at 0220 local time while anchored in position 06 38s, 039 28e, dar es salaam. four persons in a small boat came close aboard and attempted to board using grappling hook. crew raised alarm and boarding attempt was abandoned (imb).",pirate_assaults,merchant_vessel,viii,2003,08,09
1566,1576,101.13333329971701,-2.7500000004180802,71,pirates,merchant vessel,"strait of malacca:  the 740-ton, malaysian flag tanker (penrider) was attacked 10 aug at 1330 local time by heavily armed pirates while 12 nm off port klang in the northbound lane of the traffic separation scheme bound from singapore to penang with 1,000 tons of fuel oil.  seven or 8 persons operating from a fishing boat armed with automatic weapons and a grenade launcher demanded the captain stop his ship.  they took the ship into indonesian waters and later released 8 of the crew and the ship, but kept the indonesian master, chief engineer and second engineer hostage, demanding payment of $100,000 ransom.  in addition they stole ship's cash and its documents.  this incident was described by the imb office in kuala lumpur but not reported by them in their weekly dated 11 aug (info, imb).",pirate_assaults,merchant_vessel,xi,2003,08,10
1567,1577,97.73333329978729,5.71666670033687,71,pirates,merchant vessel,"strait of malacca:   the 2,912-ton taiwan flag refrigerated fishery cargo ship (dong yih) was attacked 9 aug at about 1725 local time while underway in position 05 43n, 097 44e. more than 200 rounds reportedly hit the ship during the chase and the captain was hit in the knee, but the other 33 crew were unhurt.  the attack began when the ship was approached by a vessel, about 30 m long, ""disguised"" (nfi) as an oil rig service boat.  after about 45 minutes a second, similar boat, joined the chase which ended after two hours.  the imb and others have been quick to speculate that this incident somehow involves the free aceh movement (gam), who are seen to be desperate for sources of income and supply during the current indonesian crackdown. however, no evidence of gam involvement has been presented and it would be atypical for them so far offshore.  although no source has mentioned the possibility, the incident could be the result of indonesia's enforcement of its ban on passage of vessels near aceh waters ""without proper permits"".  the vessels may have been indonesian government craft which were declared on 4 jun to have permission to open fire on any suspicious vessel.  the description that they were disguised as offshore oil support craft remains unexplained (imb, info, lm, oni).",pirate_assaults,merchant_vessel,xi,2003,08,09
1568,1578,100.183333299552,5.21666669987104,71,pirates,merchant vessel,malaysia:   unidentified fishing boat was boarded 25 apr at midnight at pulau kendi off pulau pangkor.  seven persons armed with m16s boarded form a speedboat.  they took two crew hostage  but subsequently released one after robbing him (imb).,pirate_assaults,merchant_vessel,xi,2004,04,25
1569,1579,104.000000000111,0.8333332999810071,71,pirates,merchant vessel,"indonesia: deep sea diving support ship (ocean winsertor) was boarded about 26 apr while underway near the lingga islands, southwest of bintan and batam, bound for singapore 160 km away.  pirates armed with knives and guns boarded while about half the crew of 50 were asleep.  the attackers fired one warning shot and severed the ship's communications wires, before leaving the ship with laptop computers, mobile phones and thousands of dollars in cash.  one crew member was injured when struck on the head with a steel bar (info, lm).",pirate_assaults,merchant_vessel,xi,2004,04,26
1570,1580,105.28999999973,3.00000000044236,71,pirates,merchant vessel,indonesia:   unidentified chemical tanker was boarded 25 apr at 0335 local time while underway in position 03 00.0n-105 17.4e east of bintan island.  eight pirates armed with guns and knives assaulted duty officer and took him as hostage to master's and crews' cabins where they stole cash and personal belongings before leaving the ship at 0355 (imb).,pirate_assaults,merchant_vessel,xi,2004,04,25
1571,1581,105.99499999991998,-2.86333329999457,71,pirates,merchant vessel,"indonesia:   unidentified cargo ship boarded 24 apr at 1530 utc while underway in position 02-51.8s 105-59.7e.  five persons armed with guns and long knives threatened the crew and stole cash, before escaping at 1550 utc (imb).",pirate_assaults,merchant_vessel,xi,2004,04,24
1572,1582,106.866666699606,-6.0583333002013005,71,pirates,merchant vessel,indonesia:   unidentified container ship boarded 24 apr at 0700 local time while at tanjung priok anchorage.  two person broke open the seal on a container but jumped overboard and  escaped empty handed when crew raised alarm (imb).,pirate_assaults,merchant_vessel,xi,2004,04,24
1573,1583,107.829999999615,-1.32833330039909,71,pirates,merchant vessel,indonesia:   unidentified container ship boarded 22 apr at 1510 utc while underway in position 03-06.0s 106-58.0e in gelasa strait.  persons armed with guns and daggers held master and six crew at gunpoint and escaped with cash and crew belongings at 1615 utc (imb).,pirate_assaults,merchant_vessel,xi,2004,04,22
1574,1584,107.829999999615,-1.32833330039909,71,suspicious approach,merchant vessel,"indonesia:   unidentified bulk carrier detected stationary craft 4.5 nm ahead, on radar 22 apr at 0030 local time, while underway in position 01-19.7s 107-49.8e.  craft approached to 6 cables, switched off its lights and began pursuing the bulk carrier.  crew raised alarm, switched on lights, directed searchlights, and activated fire hoses, whereupon the boat moved  away at 0500 (imb).",suspicious_approach,merchant_vessel,xi,2004,04,22
1575,1585,101.46388889980801,1.7102777995995102,71,pirates,merchant vessel,indonesia:   unidentified tanker boarded 22 apr at 0236 local time while anchored in position 01-42.61n 101-27.83e at dumai.  two persons armed with long knives threatened duty  seaman who informed duty officer who raised alarm and mustered crew.  the intruders fled empty handed in a waiting boat (imb).,pirate_assaults,merchant_vessel,xi,2004,04,22
1576,1586,112.199999999837,-5.200000000182571,72,suspicious approach,tug boat,"indonesia:   unidentified tug spotted unlit high speed craft on its radar at a range of 4 miles 20 apr at 2325 local time while underway in position 05-12s 112-12e in the java sea.  craft crossed bow and then turned toward tug coming within 0.3 cables.  crew directed searchlights at the boat and person in the boat warned tug to switch off lights.  the small craft circled the tug for 15 mins and proceeded to another ship.  incident sounds more like an encounter with a military patrol craft than pirates although tugs have been favorite targets of local pirates for more than a year (imb, oni).",suspicious_approach,tugboat,xi,2004,04,20
1577,1587,100.775000000164,13.0999999995998,93,pirates,merchant vessel,"thailand:   unidentified container ship boarded 25 apr at 1612 utc while at laemchabang anchorage. five persons gained access via the forecastle, stole ship's stores, and escaped (imb).",pirate_assaults,merchant_vessel,xi,2004,04,25
1578,1588,-17.033333300174,20.8916666999058,51,pirates,merchant vessel,"mauritania:   unidentified refrigerated cargo ship boarded 2 may at 0110 utc while at inner anchorage, nouadhibou. ten persons armed with knives gained access via the anchor chain. they threatened duty seaman and stole his walkie talkie, then broke into storeroom and stole ship's property.  at 0210 three intruders stole more ship's property.  master contacted port  control which failed to respond (imb).",pirate_assaults,merchant_vessel,ii,2004,05,02
1579,1589,3.33333329961221,6.21499999987634,57,pirates,merchant vessel,"nigeria:   an unidentified tanker reports attempt to board 29 mar at o330 utc while anchored in position 06 12.9n 003 20e, lagos.  three persons in a boat withdrew when watchman  raised alarm (imb).",pirate_assaults,merchant_vessel,ii,2004,03,29
1580,1590,101.43333329981701,1.72499999979408,71,pirates,merchant vessel,"indonesia:   unidentified tanker boarded 3 may at 0300 local time at dumai inner anchorage.  four persons armed with long knives entered engine room and took two hostages.  they broke into store room but escaped empty handed when duty seaman raised alarm. master contacted pot control who asked that he stand by, but there was no further contact (imb).",pirate_assaults,merchant_vessel,xi,2004,05,03
1581,1591,117.999999999665,-2.9999999997517097,72,suspicious approach,merchant vessel,indonesia:   unidentified bulk carrier reports being chased 27 apr at 0310 local time while underway in the makassar strait.  two speedboats doing 28 knots followed on port and starboard sides for 30 minutes but moved away when crew switched on deck lights (imb).,suspicious_approach,merchant_vessel,xi,2004,04,27
1582,1592,91.8166667001536,22.3166667001543,63,pirates,merchant vessel,bangladesh:   an unidentified bulk carrier was robbed of zinc anodes at its stern 4 jul at 0700 while the ship drifted during pilot pick up.,pirate_assaults,merchant_vessel,viii,2002,07,04
1583,1593,117.533333300068,-6.29999999994834,72,pirates,merchant vessel,indonesia:   an unidentified bulk carrier was boarded 5 jul at 0500 local time at santan anchorage.  thieves armed with long knives threatened duty seaman and tied his hands.  alarm was  raised and thieves jumped overboard with crew valuables.,pirate_assaults,merchant_vessel,xi,2002,07,05
1584,1594,117.635833299929,-0.24166670030103896,72,pirates,merchant vessel,"indonesia:   an unidentified bulk carrier was boarded 4 jul at 0235 local time while ship was at muara berau anchorage, samarinda.  thieves broke open forecastle locker and stole ship's  stores and a life raft before escaping when alarm sounded.",pirate_assaults,merchant_vessel,xi,2002,07,04
1585,1595,98.6833332999529,3.78333330021133,71,pirates,merchant vessel,"indonesia:   an unidentified tanker was subject to attempted boarding 3 jul at 0500 local time while berthed at the pertamina-citra jetty, belawan.  four persons attempted to gain access via the starboard side but were foiled by the cadet and duty seaman.",pirate_assaults,merchant_vessel,xi,2002,07,03
1586,1596,112.73333330027201,-7.20000000024726,72,pirates,merchant vessel,indonesia:   an unidentified bulk carrier was boarded 3 jul at 0100 local time while at surabaya anchorage.  two persons armed with long knives boarded at the forecastle but escaped  empty-handed when spotted.,pirate_assaults,merchant_vessel,xi,2002,07,03
1587,1597,98.6833332999529,3.78333330021133,71,pirates,merchant vessel,"indonesia:   an unidentified chemical tanker was boarded 2 jul at 0100 utc while at berth 105, belawan.  six persons boarded from a small boat and took ship's stores.  another group broke into engine room and took spare parts.  the attack occurred despite the ship having engaged 3 shore security watchmen.",pirate_assaults,merchant_vessel,xi,2002,07,02
1588,1598,-80.716666700273,-0.949999999820307,22,pirates,merchant vessel,"ecuador:   an unidentified container ship was boarded 9 jul at 0620 local time while underway  two nm off manta, ecuador.  three persons with guns threatened crew which retreated  into accommodation.  mater alerted port and police boat escorted ship to dock.  seal on one container reported broken.",pirate_assaults,merchant_vessel,xii,2002,07,09
1589,1599,-17.4333333000071,14.6833332999343,51,pirates,merchant vessel,senegal:   an unidentified container ship was boarded 9  jul at 0500 local time while underway at dakar pilot station.  four persons gained access via the poop and stole ship's stores.,pirate_assaults,merchant_vessel,ii,2002,07,09
1590,1600,80.51222219986741,13.003055600244998,63,pirates,merchant vessel,india:   an unidentified bulk carrier was subject to attempted boarding 13 jul at 0140 local time while at anchor off chennai.  six persons in a wooden boat tried to board via the stern before being scared off.,pirate_assaults,merchant_vessel,viii,2002,07,13
1591,1601,91.8166667001536,22.3166667001543,63,pirates,merchant vessel,"bangladesh:   an unidentified bulk carrier was robbed of 14 zinc anodes from its stern post 12 jul at 1800 utc while berthed at no. 2 berth, chittagong.  the thieves operated from four wooden pump boats.",pirate_assaults,merchant_vessel,viii,2002,07,12
1592,1602,117.11666670016199,-0.516666700017652,72,pirates,merchant vessel,"indonesia:   an unidentified ro-ro was boarded 14 jul at 1500 utc while at muara berau loading anchorage, samarinda.  five persons armed with knives boarded form an unlit craft, broke open forecastle store and stole three coils of mooring line.",pirate_assaults,merchant_vessel,xi,2002,07,14
1593,1603,113.289166699888,-3.74638889964621,72,pirates,merchant vessel,indonesia:   an unidentified tanker was boarded 14 jul at 0210 local time while at santan anchorage.  five persons approached in a small oat and one gained access via the anchor chain.  alarm raised by crew and thieves fled.,pirate_assaults,merchant_vessel,xi,2002,07,14
1594,1604,107.73833330036699,-0.31222219982061,71,pirates,merchant vessel,"indonesia:   an unidentified bulk carrier was boarded 11 jul at 1930 local time while at tanjung merangas anchorage, east of kalimantan, during cargo operations.  six persons armed  with long knives took master hostage despite presence of police personnel.  thieves stole ship's stores and escaped in their boats.",pirate_assaults,merchant_vessel,xi,2002,07,11
1595,1605,106.683333300212,20.8666667004221,93,pirates,merchant vessel,vietnam:   an unidentified bulk carrier was boarded 14 jul at 2240 local time while at haiphong anchorage.  our persons armed with long knives gained access via the forecastle and  lowered ship's stores into waiting boats.  crew raised alarm and thieves jumped overboard and escaped in the boats.,pirate_assaults,merchant_vessel,xi,2002,07,14
1596,1606,-79.8833332999133,-2.20000000008554,22,pirates,merchant vessel,ecuador:   an unidentified ship was boarded 18 jul at 2115 local time at guayaquil outer anchorage.  ten persons armed with guns boarded near the data pilot buoy and broke into a container on deck.  master reported to pilot station and a patrol boat was sent to the scene.,pirate_assaults,merchant_vessel,xii,2002,07,18
1597,1607,-80.9166666997399,-2.2166666999826803,22,pirates,merchant vessel,ecuador:   an unidentified tanker was boarded 17 jul at 2200 local time while anchored at the port of la libertad.  thieves boarded via the anchor chain and stole a liferaft and supplies.,pirate_assaults,merchant_vessel,xii,2002,07,17
1598,1608,-64.5833333002279,10.2500000000023,24,pirates,merchant vessel,"venezuela:   an unidentified ship was boarded 20 jul at pertigalete bay, guanta.  persons with guns stole cash and crew personal effects and escaped in a motorboat.  master called port  authorities but received no response.",pirate_assaults,merchant_vessel,iv,2002,07,20
1599,1609,119.999999999729,4.19999999994155,72,pirates,tug,"philippines:   an unidentified tug and the research ship it was escorting report being fired on 6 aug at 0645 local time from a steel hulled boat underway in position 04 11.7n, 120 00.1e in the celebes sea, south of tawi tawi. tug increased speed and began evasive maneuvers and the boat gave up its pursuit. the unidentified research ship was apparently unaffected (imb).",pirate_assaults,tugboat,xi,2003,08,06
1600,1610,-87.94999999993591,15.833333299566801,28,pirates,merchant vessel,honduras:   an unidentified container ship was boarded 18 aug at 0001 local time while anchored in puerto cortes roads. two persons armed with knives climbed anchor chain but fled empty handed when seaman sounded alarm (imb).,pirate_assaults,merchant_vessel,iv,2003,08,18
1601,1611,-79.91666669970759,9.34999999970341,26,pirates,merchant vessel,"panama:   container ship (apl almandine) reports attempt to board 5 aug at 2315 local time (reported 15 aug).  ship was at anchor, cristobal outer anchorage when a boat containing an undetermined number of persons approached anchor chain with apparent intent to board.  contract security personnel detected attempt and intruders left the scene.  it is undetermined if potential boarders were to be stowaways, thieves or drug couriers.incident reported to canal authorities (operator).",pirate_assaults,merchant_vessel,iv,2003,08,05
1602,1612,-77.4166667000764,17.499999999562302,26,pirates,merchant vessel,"caribbean-jamaica:   an unidentified general cargo ship reports attempt to board 17 aug at 2343 local time while underway in position 17 29.6n, 077 25w, south of kingston.  unlit speedboat with two men on deck and two hidden inside came close but withdrew toward coast when crew raised alarm and activated fire hoses (imb)",pirate_assaults,merchant_vessel,iv,2003,08,17
1603,1613,7.16666670006902,4.4500000001745,57,pirates,merchant vessel,"nigeria:   an unidentified container ship was boarded 18 aug at 0225 local time while anchored at bonny roads.  about ten persons, armed with knives, took duty seaman hostage, stole all five mooring lines from forecastle, and escaped.  bonny signal station was called, but did not respond (imb).",pirate_assaults,merchant_vessel,ii,2003,08,18
1604,1614,91.7666667002869,22.166666699654797,63,pirates,merchant vessel,"bangladesh:   an unidentified tanker reports attempt to board 17 aug at 2110 local time while in position 22 10n, 091 46e, anchorage c, chittagong.  about fifteen persons tried to gain access via anchor chain.  watchman spotted them and they jumped into water when he alerted crew. port control did not respond when called (imb).",pirate_assaults,merchant_vessel,viii,2003,08,17
1605,1615,91.71666670042009,22.250000000390397,63,pirates,merchant vessel,"bangladesh:   an unidentified tug was boarded 12 aug at 0145 local time while anchored in position 22 15n, 091 43e, anchorage b, chittagong.  fifteen to 20 persons from 3 or 4 motorized boats boarded armed with knives and bolos.  one crew member injured during theft of stores.  port control did not respond to calls (imb).",pirate_assaults,merchant_vessel,viii,2003,08,12
1606,1616,97.5500000002176,6.116666700169961,71,pirates,merchant vessel,"strait of malacca:   an unidentified container ship reports attempt to board 18 aug at 1930 utc while underway in position 06 07n, 097 33e. persons in three boats attempted board but ship increased speed and undertook evasive maneuvers while crew activated fire hoses. the boats abandoned the chase at 2200 utc (imb).",pirate_assaults,merchant_vessel,xi,2003,08,18
1607,1617,108.03333330021,4.83333330011038,71,pirates,fishing vessel,"indonesia:  an unidentified trawler was chased 12 aug at 0230 local time while underway in position 04 50n, 108 02e. persons in pursuing boat opened fire, killing the captain.  they then boarded the boat, stole cargo and ship's equipment (imb).",pirate_assaults,fishing_vessel,xi,2003,08,12
1608,1618,-75.53333329981758,10.4166667003989,24,pirates,merchant vessel,"colombia:   an unidentified tanker was boarded 24 aug at 0100 local time while berthed at the coal terminal, cartagena.  persons armed with knives gained access at the forecastle, assaulted and tied up a crew member, stole ship's stores and escaped.  the crew member suffered knife wounds (imb).",pirate_assaults,merchant_vessel,iv,2003,08,24
1609,1619,3.45324e-10,5.61666669970413,57,pirates,merchant vessel,ghana:   an unidentified container ship was boarded 19 aug at 0005 local time while anchored in tema roads.  four persons armed with long knives stole ship's stores before crew raised alarm and the thieves escaped in an unlit boat.  master informed other ships in the vicinity (imb).,pirate_assaults,merchant_vessel,ii,2003,08,19
1610,1620,5.34999999957404,5.80000000017316,57,pirates,merchant vessel,"nigeria:  an unidentified bulk carrier was boarded 21 aug at 1130 local time while underway in position 05 47.8n, 005 20.5e, deli creek, sapele.  groups armed with firearms boarded from speedboats, ordered the ship to anchor and open all cargo holds.  they threatened the chief mate, stole his walkie talkie and smashed the forecastle life raft, and then stole cargo and provisions from the galley.  pilot was removed ashore by the leader of the attackers and returned to the ship at 1700 when ship heaved anchor and departed.  even by nigerian standards this represents an unusually well-coordinated attack (imb, oni).",pirate_assaults,merchant_vessel,ii,2003,08,21
1611,1621,9.68333329977258,4.05000000034141,57,pirates,merchant vessel,cameroon:   an unidentified reefer ship was boarded 20 aug at 0530 local time while at douala.  four persons broke the seal on number four hatch but escaped empty handed when crew sounded alert (imb).,pirate_assaults,merchant_vessel,ii,2003,08,20
1612,1622,115.716666700297,-8.73333329981568,72,pirates,merchant vessel,"indonesia:   an unidentified bulk carrier reports approach by ten persons, armed with machine guns, in two speedboats 24 aug at 1735 local time while underway in position 08 44s, 115 43e, lombok strait.  one boat came within one cable and tried to intersect the ship's course. master raised alarm and crew activated fire houses before boats moved away (imb).",pirate_assaults,merchant_vessel,xi,2003,08,24
1613,1623,105.05000000001,0.9499999996116341,71,pirates,merchant vessel,"indonesia:   an unidentified container ship was boarded 22 aug at 2130 utc while underway in position 00 57n, 105 03e off bintan island.  three persons armed with knives and crowbars escaped empty handed when the second engineer raised alarm (imb).",pirate_assaults,merchant_vessel,xi,2003,08,22
1614,1624,120.466666700226,9.21666670000042,92,pirates,merchant vessel,"philippines:  an unidentified container ship reports being chased 21 aug at 2015 local time while underway in position 09 12.9n, 120 28e in the sulu sea.  a speedboat making more than 17 knots approached but pulled away at 2215 when ship raised alarm and activated anti-piracy measures (imb).",pirate_assaults,merchant_vessel,xi,2003,08,21
1615,1625,-69.3166667000842,18.449999999727897,25,pirates,tug,"dominican republic:   an unidentified ocean going tug was boarded 30 aug at 0230 local time while moored at san pedro de macoris.  four persons armed with knives came aboard from an unlit boat alongside but fled when watch called for assistance from guards ashore (bimco, imb, msc)",pirate_assaults,tugboat,iv,2003,08,30
1616,1626,3.40000000027544,6.40000000037242,57,pirates,merchant vessel,nigeria:   an unidentified chemical tanker was boarded 25 aug at 2235 local time while at lagos sbm.  five persons stole a mooring line and held off duty seaman by brandishing empty glass bottles (imb).,pirate_assaults,merchant_vessel,ii,2003,08,25
1617,1627,80.3000000003341,13.0999999995998,63,pirates,merchant vessel,"india:   an unidentified container ship was boarded 31 aug at 0115 local time at chennai anchorage.  one person had gained access with three others attempting to, when alarm raised. port control and port police informed and police boat arrived at 0215 (imb).",pirate_assaults,merchant_vessel,viii,2003,08,31
1618,1628,91.8166667001536,22.3166667001543,63,pirates,merchant vessel,"bangladesh:   an unidentified bulk carrier had zinc anodes stolen 1 sep at 0730 while at berth 6, chittagong (imb).",pirate_assaults,merchant_vessel,viii,2003,09,01
